Trait,DOI,Primary_classification,Secondary_classification
nesting location,10.1111/geb.12148,life history,reproductive mode
nesting location,10.7717/peerj.3092,life history,reproductive mode
nesting placement,10.1111/oik.04507,life history,reproductive mode
nesting site,10.1890/14-2326.1.sm,life history,reproductive mode
nesting type,10.1890/14-0910.1,life history,reproductive mode
niche,10.1111/1365-2664.12493,resource acquisition,niche space
niche breadth,10.1111/1365-2664.12524,resource acquisition,niche space
niche breadth,10.1038/ismej.2017.183,resource acquisition,niche space
niche breadth,10.1111/j.1365-2656.2008.01443.x,resource acquisition,niche space
niche breadth,10.3389/fmicb.2019.00169,resource acquisition,niche space
niche breadth,10.1111/fwb.12228,resource acquisition,niche space
niche partitioning,10.1111/1365-2656.13029,resource acquisition,niche space
nitrate,10.1111/jvs.12375,resource acquisition,nitrogen
nitrogen isotope ratios of leaves,10.1007/s00442-016-3547-z,resource acquisition,nitrogen
nitrogen per unit leaf mass,10.1111/ele.12945,resource acquisition,nitrogen
nitrogenous fixation,10.1007/s10531-014-0742-2,resource acquisition,nitrogen
nocturnal activity,10.1073/pnas.1304074110,activity,nocturnality
nocturnality,10.1111/geb.12148,activity,nocturnality
nocturnality,10.3389/fevo.2017.00084,activity,nocturnality
nocturnality,10.1111/j.1365-2664.2006.001175.x,activity,nocturnality
nocturnally active,10.1111/1365-2656.12250,activity,nocturnality
nomadic,10.1007/s10021-015-9875-8,habitat,range
non-feeding water column position,10.1371/journal.pone.0093237,habitat,vertical habitat
non-native,10.1111/1365-2656.12161,habitat,non-native
non-native,10.1016/j.foreco.2018.06.006,habitat,non-native
non-native plant life-form,10.1111/geb.12249,habitat,non-native
non leguminous forbs,10.1111/j.1600-0706.2012.00121.x,resource acquisition,diet
nonfamilial invasive,10.1111/j.1472-4642.2007.00381.x,habitat,non-native
nontarget effects,unknown_10,resource acquisition,parasite traits
northern most breeding latitude,10.1098/rstb.2010.0130,habitat,range
number of aquatic stages,10.1371/journal.pone.0081739,life history,life cycle
number of armour plates,10.1111/mec.13746,morphology,defense
number of black setae on every side of the pronotum,10.1111/j.1095-8312.2010.01569.x,morphology,setae
number of bony lateral plates,10.1111/j.1095-8649.2010.02640.x,morphology,defense
number of breeding pairs,10.1111/gcb.13538,life history,fecundity
number of broods,10.1111/1365-2656.12570,life history,fecundity
number of broods,10.1371/journal.pone.0090437,life history,fecundity
number of broods per season,10.1890/1051-0761(2006)016[0891:STAPOL]2.0.CO;2,life history,fecundity
number of colours,10.1111/ele.12081,morphology,coloration
number of days a chick is fed,10.1016/j.anbehav.2005.05.010,life history,parental care
number of denticle rows,10.1371/journal.pone.0196066,morphology,teeth traits
number of eggs produced,10.1098/rspb.2011.1371,life history,fecundity
number of epiphytes per tree,10.1016/j.actao.2016.10.007,resource acquisition,NA
number of fledging days,10.1002/eap.1434,growth,larval/juvenile stage length
number of fruiting months,10.1111/ele.12081,life history,reproductive timing
number of geographical zones,10.1111/j.1654-1103.2009.01160.x,habitat,range
number of host plant families used,10.1890/1051-0761(2006)016[0891:STAPOL]2.0.CO;2,resource acquisition,host characteristics
number of incubation days,10.1002/eap.1434,growth,larval/juvenile stage length
number of introductions,10.1111/jbi.12808,habitat,non-native
number of lamellae on the toe pad,10.1002/ece3.908,morphology,mobility
number of leaves,10.1111/jvs.12681,morphology,leaf area
number of litters per year,10.1556/168.2018.19.2.9,life history,fecundity
number of litters per year,10.1111/bij.12238,life history,fecundity
number of lower teeth,10.1111/1365-2435.12838,morphology,teeth traits
number of months active by year,10.1371/journal.pone.0090437,activity,seasonality
number of moves per minute,10.1111/j.1095-8312.2005.00465.x,morphology,mobility
number of native congeners,10.1556/ComEc.14.2013.2.7,habitat,non-native
number of nests,10.7717/peerj.1241,life history,fecundity
number of nests per colony,10.1890/14-2326.1.sm,life history,fecundity
number of offspring,10.1007/s004420000504,life history,fecundity
number of offspring,10.1111/jbi.12946,life history,fecundity
number of offspring,10.1002/ece3.1084,life history,fecundity
number of oocytes,10.1111/j.1600-0633.2010.00465.x,life history,fecundity
number of ovules,10.1007/s10681-014-1200-7,life history,fecundity
number of queens,10.7717/peerj.1241,life history,reproductive mode
number of rays,10.1007/s10750-015-2389-8,morphology,fin
number of reproduction periods,10.1002/ece3.1084,life history,reproductive timing
number of rhizomes or stolon apicies,10.2307/3547051,resource acquisition,NA
number of rosette leaves,10.1007/s10682-005-2005-x,morphology,leaf traits
number of seeds,10.1111/ele.12081,life history,fecundity
number of segments,10.1111/1365-2664.12493,morphology,NA
number of spawning events per year,10.1002/eap.1621,life history,reproductive timing
number of stems,10.1007/s10531-014-0843-y,morphology,NA
number of teeth on lower mandibular,10.1111/1365-2656.12218,morphology,teeth traits
number of upper teeth,10.1111/1365-2435.12838,morphology,teeth traits
number of viable seeds within a cone,10.1111/plb.12566,life history,fecundity
number of xylem vessels per mm,10.1016/j.foreco.2018.04.032,morphology,water intake
nutrient acquisition,10.1111/jvs.12615,resource acquisition,nutrients
nutrient level flowering period,10.1098/rspb.2000.1010,resource acquisition,nutrients
nutrient uptake parameters,unknown_30,resource acquisition,nutrients
nutrient uptake rate,10.1086/690764,resource acquisition,nutrients
nutrient uptake strategy,10.1111/ecog.02516,resource acquisition,nutrients
nutritional mode,10.1111/gcb.13085,composition,NA
nutritional quality,10.1111/j.1654-1103.2012.01424.x,composition,NA
nutritional requirements,10.1111/j.1365-2435.2009.01528.x,resource acquisition,nutrients
nutritional symbionts,10.1111/ddi.12712,resource acquisition,mutualism
nycthmeral behaviour,10.1051/alr:2005029,activity,behaviour
obligate parasitoid,10.3389/fevo.2017.00084,resource acquisition,parasite traits
occurrence in drift,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,activity,dispersal
offspring number,10.1111/ele.12576,life history,fecundity
offspring production,10.1111/j.2007.0906-7590.05090.x,life history,fecundity
offspring size,10.1111/2041-210X.12211,life history,offspring size
offspring size,10.1111/ele.12576,life history,offspring size
offspring size,10.1002/ecs2.2460,life history,offspring size
oil content,10.1111/jvs.12375,composition,lipid
onset of flowering,10.1111/1365-2435.12075,life history,reproductive timing
onset of flowering,10.1111/jvs.12066,life history,reproductive timing
onset of flowering date,10.1111/1365-2745.12003,life history,reproductive timing
onset of reproduction,10.1007/s10336-005-0011-y,life history,reproductive timing
oocyte diameter,10.1002/eco.1734,life history,offspring size
optimum temperatures,10.1007/s00035-018-0199-0,resource acquisition,temperature tolerance
oral disk length,10.1111/1365-2435.12838,morphology,mouth
oral disk width,10.1111/1365-2435.12838,morphology,mouth
oral gape axis,10.1007/s12080-014-0229-5,morphology,mouth
oral gape diameter,10.1007/s12080-014-0229-5,morphology,mouth
oral gape position,10.1016/j.dsr.2016.11.011,morphology,mouth
oral gape position,10.1002/ece3.1260,morphology,mouth
oral gape position,10.1007/s10641-018-0759-6,morphology,mouth
oral gape shape,10.1016/j.dsr.2016.11.011,morphology,mouth
oral gape shape,10.1002/ece3.1260,morphology,mouth
oral gape shape,10.1007/s10641-018-0759-6,morphology,mouth
oral gape surface,10.1016/j.dsr.2016.11.011,morphology,mouth
oral gape surface,10.1007/s10641-018-0759-6,morphology,mouth
oral gape surface,10.1002/ece3.1260,morphology,mouth
oral gape/body area ratio,10.1007/s12080-014-0229-5,morphology,mouth
orange hue,10.1371/journal.pone.0041323,morphology,mouth
ordour,10.1111/ele.12081,morphology,scent
organism type,10.1111/ele.12081,resource acquisition,diet
organization,10.1111/gcb.13085,activity,NA
orientation,10.1111/ele.12081,morphology,NA
orientation of the corolla,10.1890/14-0024.1,morphology,reproductive structure
origin,10.1111/j.1365-2745.2011.01860.x,habitat,non-native
origin,10.1111/ele.12080,habitat,non-native
origin,10.1111/ele.12081,habitat,non-native
ornithochorty,10.1111/j.1365-2745.2009.01610.x,activity,dispersal
other native enemeies present,unknown_10,resource acquisition,competitive ability
other vegetation,10.3389/fevo.2017.00084,resource acquisition,diet
ovary length,10.1007/s10681-014-1200-7,life history,fecundity
over-wintering grounds,10.1111/icad.12271,life history,overwintering
overgrowth resistance,10.1098/rstb.2010.0130,resource acquisition,competitive ability
overgrowth resistance,10.1371/journal.pone.0107525,resource acquisition,competitive ability
overwintering,10.1016/S0167-8809(01)00333-4,life history,overwintering
overwintering forms,10.1016/S0167-8809(01)00333-4,life history,overwintering
overwintering forms,10.1111/1365-2664.12493,life history,overwintering
overwintering stage,10.7717/peerj.1410,life history,overwintering
overwintering stage,10.1890/13-2036.1,life history,overwintering
overwintering stages,10.1111/icad.12051,life history,overwintering
oviposition site,unknown_10,morphology,reproductive structure
ovipositor length,10.1111/mec.13985,morphology,reproductive structure
ovovivipary or pasting capsulated eggs on conspecifics,10.1111/fwb.12228,life history,reproductive mode
oxidative capacity of phenolics,10.1111/ele.12532,resource acquisition,NA
oxygen requirement,10.1111/jvs.12375,resource acquisition,oxygen
oxygen tolerance,10.1111/1752-1688.12650,resource acquisition,oxygen
oxygen tolerance,10.1111/j.1365-2427.2007.01736.x,resource acquisition,oxygen
P body concentration,10.1890/15-1084.1,composition,phosphorous
P concentration,10.1371/journal.pone.0114290,composition,phosphorous
P concentration,10.1016/B978-0-12-420002-9.00002-0,composition,phosphorous
P content,10.1111/j.1472-4642.2009.00599.x,composition,phosphorous
P content,10.1111/1365-2664.12516,composition,phosphorous
P content,10.5194/bg-14-3371-2017,composition,phosphorous
P content,10.1111/j.1365-2745.2012.01965.x,composition,phosphorous
P content,10.1111/j.1466-8238.2010.00623.x,composition,phosphorous
P contents,10.1111/een.1.2425,composition,phosphorous
p/a of flagellum,10.1371/journal.pone.0196066,morphology,mobility
paedomorphosis,10.1111/1365-2656.12173,life history,life cycle
parasitoid,unknown_10,resource acquisition,parasite traits
parasitoid selectivity,10.1016/j.mbs.2016.01.005,resource acquisition,parasite traits
parasitoid selectivity,10.1086/505157,resource acquisition,parasite traits
parental care,10.1111/fwb.12228,life history,parental care
parental care,10.1111/j.1365-2427.1994.tb01755.x,life history,parental care
parental care,10.1111/1365-2656.12570,life history,parental care
parental care,unknown_17,life history,parental care
parental care,10.1111/j.1365-2427.1994.tb01756.x,life history,parental care
parental care,10.1002/eap.1621,life history,parental care
parental quality,10.1007/s00442-004-1770-5,life history,parental care
parity,10.1111/ele.12728,life history,reproductive timing
parthenogenesis,10.1111/geb.12567,life history,reproductive mode
parthenogenesis known,10.2307/1467813,life history,reproductive mode
patch detection time,10.1111/j.1461-0248.2007.01140.x,resource acquisition,consumption rate
pathogen community,10.1017/S0952836900001084,resource acquisition,NA
peak echolocation frequency,10.1002/ece3.4896,morphology,sensing
pecisl reduction,10.1890/07-1737.1,morphology,NA
pectoral fin aspect ratio,10.1111/fwb.13233,morphology,shape
pectoral fin height,10.1111/1365-2435.12838,morphology,shape
pectoral fin length,10.1111/1365-2435.12838,morphology,shape
pectoral fin position,10.1002/ece3.1260,morphology,shape
pectoral fin position,10.1016/j.dsr.2016.11.011,morphology,shape
pectoral fin position,10.1007/s10641-018-0759-6,morphology,shape
pectoral fin shape,10.1002/ece3.1260,morphology,shape
peduncle depth,10.1007/s10641-016-0506-9,morphology,peduncle
peduncle length,10.1007/s10641-016-0506-9,morphology,peduncle
pelvic fin length,10.1111/1365-2435.12838,morphology,shape
pelvic fin position,10.1111/faf.12347,morphology,shape
pelvic girdle size,unknown_20,morphology,NA
per spore susceptibility,10.1007/s00442-013-2673-0,life history,parasite traits
percent change in suitable area,unknown_18,resource acquisition,niche space
percent of emergence per year from seedbank,10.1111/wre.12126,life history,emergence
percent of total seed weight made up of non-investing structures,10.1111/wre.12126,life history,fecundity
percentage of cone mass corresponding to pulp,10.1111/plb.12566,life history,fecundity
percentage of stem as lumen,10.1111/j.1365-2745.2010.01662.x,morphology,NA
percentage of tank basal area covered,10.1002/ece3.1395,morphology,NA
percentage of time,10.1111/oik.05228,activity,behaviour
percentage of time being active,10.1002/ece3.1395,activity,movement
perceptual range,10.1098/rsos.181702,morphology,sensing
perenial growth form,10.1371/journal.pone.0131630,morphology,NA
perennation,10.1111/jbi.13516,survival,perennation
perennial,10.1890/10-0394.1,survival,perennation
perforation plates,10.1007/s00468-011-0632-0,morphology,NA
pericarp thickness,10.1016/j.jtbi.2011.05.033,morphology,NA
period of activity,10.1111/ddi.12785,activity,movement
period of activity,10.1111/1365-2435.12075,activity,movement
period of photosynthetic activity,10.1046/j.1365-2435.2002.00664.x,resource acquisition,photosynthetic rate
period of production of reproductive organ,10.1111/jbi.13516,life history,reproductive timing
peroth color,10.1890/07-1737.1,morphology,coloration
persistence,10.1111/1365-2745.12199,survival,persistence
personality,10.1007/s10071-018-1209-8,activity,behaviour
petal length,10.5061/dryad.m03vf,morphology,reproductive structure
petal length,10.1111/jeb.12845,morphology,reproductive structure
petal width,10.1111/jeb.12845,morphology,reproductive structure
petal width,10.5061/dryad.m03vf,morphology,reproductive structure
petiole length,10.1890/08-1449.1,morphology,reproductive structure
pH,10.1002/eap.1621,resource acquisition,pH tolerance
pH range of the germination phenotype,10.1007/s00035-018-0199-0,resource acquisition,pH tolerance
ph tolerance,10.1111/1365-2664.12493,resource acquisition,pH tolerance
pH tolerance,10.1111/1462-2920.12211,resource acquisition,pH tolerance
pH tolerance,10.1046/j.1365-2427.2000.00535.x,resource acquisition,pH tolerance
pH tolerance,10.1017/S0952836900002016,resource acquisition,pH tolerance
